ESTADO,MUNICIPIO,LATITUD,LONGITUD,PEA
AGUASCALIENTES,Asientos,22.23831694,-102.089275,2086
AGUASCALIENTES,Calvillo,21.84690722,-102.7187506,9653
AGUASCALIENTES,Cosío,22.36640861,-102.3000442,2679
AGUASCALIENTES,Pabellón de Arteaga,22.14920167,-102.2765417,15404
AGUASCALIENTES,Rincón de Romos,22.22923306,-102.3230686,15294
AGUASCALIENTES,San José de Gracia,22.15021639,-102.4156336,2407
AGUASCALIENTES,Tepezalá,22.22422778,-102.1669714,1981
AGUASCALIENTES,El Llano,21.91886917,-101.9653072,2503
AGUASCALIENTES,San Francisco de los Romo,22.07239306,-102.2726783,8931
BAJA CALIFORNIA,San Quintín,30.55648528,-115.9390614,2610
BAJA CALIFORNIA SUR,Comondú,25.03463556,-111.6733394,21620
BAJA CALIFORNIA SUR,Mulegé,27.33686833,-112.2682747,7491
BAJA CALIFORNIA SUR,Loreto,26.01277778,-111.3433333,8221
CAMPECHE,Calkiní,20.37122611,-90.05073944,7827
CAMPECHE,Champotón,19.35621861,-90.72389111,16983
CAMPECHE,Hecelchakán,20.17696611,-90.13451722,5678
CAMPECHE,Hopelchén,19.74554806,-89.84504361,3831
CAMPECHE,Palizada,18.25359833,-92.09090167,1634
CAMPECHE,Tenabo,20.03967694,-90.22576333,4378
CAMPECHE,Escárcega,18.60431472,-90.73200083,14749
CAMPECHE,Calakmul,18.50537083,-89.39727556,2701
CAMPECHE,Candelaria,18.18345056,-91.04629361,5483
CAMPECHE,Seybaplaya,19.63919694,-90.68830111,4351
COAHUILA,Allende,28.34722222,-100.8541667,9102
COAHUILA,Arteaga,25.45062056,-100.8496225,7806
COAHUILA,Castaños,26.78527778,-101.4305556,10920
COAHUILA,Cuatro Ciénegas,26.98686361,-102.0671011,4409
COAHUILA,Francisco I. Madero,25.775,-103.2730556,15299
COAHUILA,General Cepeda,25.3799075,-101.4792917,2319
COAHUILA,Matamoros,25.52813611,-103.2303836,27948
COAHUILA,Morelos,28.41010444,-100.8866314,2791
COAHUILA,Múzquiz,27.87754972,-101.5165178,16475
COAHUILA,Nadadores,27.02903056,-101.5920233,1833
COAHUILA,Nava,28.42187472,-100.7675536,10744
COAHUILA,Ocampo,27.311215,-102.3974047,1352
COAHUILA,Parras,25.43738056,-102.1841689,16898
COAHUILA,Sabinas,27.84888833,-101.1199892,27516
COAHUILA,San Buenaventura,27.06025722,-101.5500286,9978
COAHUILA,San Pedro,25.75777778,-102.9831569,21848
COAHUILA,Viesca,25.34360528,-102.8063503,1251
COAHUILA,Villa Unión,28.22049778,-100.725155,2063
COAHUILA,Zaragoza,28.48704306,-100.9176217,4671
COLIMA,Armería,18.93707278,-103.9649972,8335
COLIMA,Comala,19.32319861,-103.7588011,5277
COLIMA,Coquimatlán,19.20141,-103.8109169,7722
COLIMA,Cuauhtémoc,19.32877444,-103.6018606,4957
COLIMA,Ixtlahuacán,19.00118361,-103.7385933,1489
COLIMA,Minatitlán,19.38611,-104.0496369,2962
CHIAPAS,Acacoyagua,15.34096528,-92.67461722,3655
CHIAPAS,Acala,16.55167361,-92.80750833,6761
CHIAPAS,Acapetahua,15.28283778,-92.68913194,2900
CHIAPAS,Altamirano,16.73592028,-92.03859361,4957
CHIAPAS,Amatán,17.37284833,-92.81912306,1468
CHIAPAS,Amatenango del Valle,16.52850139,-92.43549056,2711
CHIAPAS,Angel Albino Corzo,15.87264444,-92.72507972,5561
CHIAPAS,Arriaga,16.236065,-93.89947333,13408
CHIAPAS,Berriozábal,16.80032083,-93.27327139,17538
CHIAPAS,Bochil,16.99638333,-92.89021889,6170
